"namespace","term","iri","label","label_ja","type","status","replaced_by","use_at_bio_database"
"dwc","referenceRemarks","http://rs.tdwg.org/dwc/terms/referenceRemarks","Reference Remarks","参照注記","Property","valid","","true"
"dwc","referenceType","http://rs.tdwg.org/dwc/terms/referenceType","Reference Type","参照種別","Property","valid","","true"
"dwc","RelatedBasisOfRecord","http://rs.tdwg.org/dwc/terms/RelatedBasisOfRecord","Related Basis of Record","","Property","invalid","","false"
"dwc","relatedResourceID","http://rs.tdwg.org/dwc/terms/relatedResourceID","Related Resource ID","関連リソース識別子","Property","valid","","true"
"dwc","relatedResourceType","http://rs.tdwg.org/dwc/terms/relatedResourceType","Related Resource Type","","Property","invalid","","false"
"dwc","relationshipAccordingTo","http://rs.tdwg.org/dwc/terms/relationshipAccordingTo","Relationship According To","関係の準拠先","Property","valid","","true"
"dwc","relationshipEstablishedDate","http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate","Relationship Established Date","関係設定日","Property","valid","","true"
"dwc","relationshipOfResource","http://rs.tdwg.org/dwc/terms/relationshipOfResource","Relationship Of Resource","リソース間関係","Property","valid","","true"
"dwc","relationshipOfResourceID","http://rs.tdwg.org/dwc/terms/relationshipOfResourceID","Relationship Of Resource ID","リソース間関係識別子","Property","valid","","true"
"dwc","relationshipRemarks","http://rs.tdwg.org/dwc/terms/relationshipRemarks","Relationship Remarks","関係注記","Property","valid","","true"
"dwc","reproductiveCondition","http://rs.tdwg.org/dwc/terms/reproductiveCondition","Reproductive Condition","繁殖状態","Property","valid","","true"
"dwc","resourceID","http://rs.tdwg.org/dwc/terms/resourceID","Resource ID","リソース識別子","Property","valid","","true"
"dwc","ResourceRelationship","http://rs.tdwg.org/dwc/terms/ResourceRelationship","Resource Relationship","リソース関係","Class","valid","","false"
"dwc","resourceRelationshipID","http://rs.tdwg.org/dwc/terms/resourceRelationshipID","Resource Relationship ID","リソース関係識別子","Property","valid","","true"
"dwc","Sample","http://rs.tdwg.org/dwc/terms/Sample","Sample","","Class","invalid","http://rs.tdwg.org/dwc/terms/Occurrence","false"
"dwc","SampleAttribute","http://rs.tdwg.org/dwc/terms/SampleAttribute","Sample Attribute","","Class","invalid","","false"
"dwc","SampleAttributeAccuracy","http://rs.tdwg.org/dwc/terms/SampleAttributeAccuracy","Sample Attribute Accuracy","","Property","invalid","http://rs.tdwg.org/dwc/terms/occurrenceMeasurementAccuracy","false"
"dwc","SampleAttributeDeterminedBy","http://rs.tdwg.org/dwc/terms/SampleAttributeDeterminedBy","Sample Attribute Determined By","","Property","invalid","http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDeterminedBy","false"
"dwc","SampleAttributeDeterminedDate","http://rs.tdwg.org/dwc/terms/SampleAttributeDeterminedDate","Sample Attribute Determined Date","","Property","invalid","http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDeterminedDate","false"
"dwc","SampleAttributeRemarks","http://rs.tdwg.org/dwc/terms/SampleAttributeRemarks","Sample Attribute Remarks","","Property","invalid","","false"
"dwc","SampleAttributeUnit","http://rs.tdwg.org/dwc/terms/SampleAttributeUnit","Sample Attribute Unit","","Property","invalid","http://rs.tdwg.org/dwc/terms/occurrenceMeasurementUnit","false"
"dwc","SampleAttributeValue","http://rs.tdwg.org/dwc/terms/SampleAttributeValue","Sample Attribute Value","","Property","invalid","http://rs.tdwg.org/dwc/terms/occurrenceMeasurementValue","false"
"dwc","sampledSubstrateCategory","http://rs.tdwg.org/dwc/terms/sampledSubstrateCategory","Sampled Substrate Category","採取基質分類","Property","valid","","true"
"dwc","sampledSubstrateLayer","http://rs.tdwg.org/dwc/terms/sampledSubstrateLayer","Sampled Substrate Layer","採取基質層","Property","valid","","true"
"dwc","SampleRemarks","http://rs.tdwg.org/dwc/terms/SampleRemarks","Sample Remarks","","Property","invalid","http://rs.tdwg.org/dwc/terms/occurrenceRemarks","false"
"dwc","sampleSizeUnit","http://rs.tdwg.org/dwc/terms/sampleSizeUnit","Sample Size Unit","試料サイズ単位","Property","valid","","true"
"dwc","sampleSizeValue","http://rs.tdwg.org/dwc/terms/sampleSizeValue","Sample Size Value","試料サイズ値","Property","valid","","true"
"dwc","SamplingAttributeID","http://rs.tdwg.org/dwc/terms/SamplingAttributeID","Sample Attribute ID","","Property","invalid","","false"
"dwc","SamplingAttributeType","http://rs.tdwg.org/dwc/terms/SamplingAttributeType","Sample Attribute Type","","Property","invalid","","false"
"dwc","samplingEffort","http://rs.tdwg.org/dwc/terms/samplingEffort","Sampling Effort","採集努力量","Property","valid","","true"
"dwc","SamplingEvent","http://rs.tdwg.org/dwc/terms/SamplingEvent","Sampling Event","","Class","invalid","http://rs.tdwg.org/dwc/terms/Event","false"
"dwc","SamplingEventAttributes","http://rs.tdwg.org/dwc/terms/SamplingEventAttributes","Sampling Event Attributes","","Property","invalid","","false"
"dwc","SamplingEventID","http://rs.tdwg.org/dwc/terms/SamplingEventID","Sampling Event ID","","Property","invalid","http://rs.tdwg.org/dwc/terms/eventID","false"
"dwc","SamplingEventRemarks","http://rs.tdwg.org/dwc/terms/SamplingEventRemarks","Sampling Event Remarks","","Property","invalid","","false"
"dwc","SamplingLocation","http://rs.tdwg.org/dwc/terms/SamplingLocation","Sampling Location","","Class","invalid","","false"
"dwc","SamplingLocationID","http://rs.tdwg.org/dwc/terms/SamplingLocationID","Sampling Location ID","","Property","invalid","http://rs.tdwg.org/dwc/terms/locationID","false"
